0.00,0.01
0.21,0.01
0.40,-0.00
0.57,0.01
0.78,0.01
1.01,0.00
1.21,-0.01
1.53,0.00
1.77,0.02
1.97,0.03
2.17,0.04
2.37,0.04
2.58,0.03
2.78,0.04
2.97,0.10
3.13,0.20
3.30,0.32
3.42,0.48
3.53,0.65
3.60,0.83
3.62,1.02
3.61,1.23
3.61,1.51
3.61,1.70
3.61,2.02
3.59,2.21
3.57,2.39
3.49,2.56
3.38,2.72
3.24,2.87
3.09,2.97
2.88,3.06
2.69,3.09
2.49,3.11
2.31,3.10
2.13,3.04
1.96,2.95
1.78,2.86
1.62,2.79
1.45,2.78
1.28,2.77
1.14,2.78
0.99,2.76
0.79,2.80
0.61,2.85
0.45,2.97
0.28,3.04
0.07,3.08
-0.11,3.10
-0.29,3.09
-0.47,3.04
-0.64,2.93
-0.79,2.81
-0.92,2.66
-1.02,2.49
-1.06,2.31
-1.09,2.11
-1.08,1.92
-1.08,1.63
-1.07,1.45
-1.06,1.11
-1.02,0.92
-1.01,0.74
-0.94,0.55
-0.84,0.38
-0.71,0.23
-0.54,0.13
-0.38,0.06
-0.20,0.02
-0.01,0.01
-0.76,1.55
-0.64,1.55
-0.47,1.55
-0.30,1.54
-0.11,1.55
0.10,1.53
0.29,1.56
0.47,1.56
0.67,1.55
0.86,1.55
1.56,1.61
1.68,1.61
1.88,1.61
2.08,1.61
2.27,1.61
2.48,1.62
2.68,1.61
2.89,1.61
3.08,1.61
3.29,1.61
1.22,2.44
1.22,2.32
1.22,2.14
1.20,1.94
1.21,1.68
1.20,1.38
1.21,1.16
1.22,0.96
1.21,0.75
1.21,0.55
