0.00,0.18
0.21,0.18
0.39,0.17
0.56,0.18
0.79,0.18
1.02,0.17
1.20,0.16
1.52,0.17
1.76,0.19
1.96,0.20
2.17,0.21
2.37,0.21
2.57,0.20
2.77,0.21
2.88,0.25
3.04,0.35
3.16,0.43
3.28,0.59
3.37,0.71
3.44,0.89
3.45,1.01
3.44,1.22
3.44,1.51
3.44,1.70
3.44,2.00
3.42,2.19
3.41,2.32
3.33,2.49
3.25,2.60
3.11,2.75
3.02,2.81
2.81,2.90
2.67,2.92
2.47,2.94
2.37,2.93
2.19,2.87
2.04,2.79
1.86,2.70
1.63,2.62
1.46,2.61
1.27,2.60
1.13,2.61
0.96,2.59
0.76,2.63
0.50,2.71
0.34,2.83
0.25,2.87
0.04,2.91
-0.10,2.93
-0.28,2.92
-0.37,2.89
-0.54,2.78
-0.66,2.70
-0.79,2.55
-0.85,2.45
-0.89,2.27
-0.92,2.12
-0.91,1.93
-0.91,1.64
-0.90,1.46
-0.89,1.15
-0.85,0.96
-0.85,0.80
-0.78,0.61
-0.71,0.49
-0.58,0.34
-0.47,0.29
-0.31,0.22
-0.19,0.19
-0.00,0.18
-0.76,1.73
-0.64,1.73
-0.46,1.72
-0.29,1.71
-0.09,1.72
0.12,1.70
0.29,1.74
0.47,1.74
0.67,1.73
0.86,1.73
1.56,1.79
1.68,1.79
1.88,1.79
2.08,1.79
2.26,1.78
2.47,1.79
2.68,1.79
2.89,1.79
3.08,1.79
3.29,1.79
1.40,2.44
1.40,2.32
1.39,2.12
1.37,1.92
1.38,1.67
1.37,1.37
1.38,1.17
1.39,0.97
1.39,0.75
1.39,0.55
